StudyID,Study,T,N,Mean,SD
1,"Abdelaal & Mohamad, 2015",2,20,-5,1.43
1,"Abdelaal & Mohamad, 2015",1,19,0.6,1.74
1,"Abdelaal & Mohamad, 2015",3,20,-2.9,4.24
2,"Albright et al., 1991 F",2,21,0,7.96
2,"Albright et al., 1991 F",1,20,-1,8.4
3,"Albright et al., 1991 M",2,21,-5,9.06
3,"Albright et al., 1991 M",1,21,-2,7.22
4,"Amaro-Gahete et al., 2019",2,17,-3.5,8.09
4,"Amaro-Gahete et al., 2019",1,17,0.38,9.7
5,"Amin-Shokravi et al., 2011",2,20,-3.5,3.42
5,"Amin-Shokravi et al., 2011",1,20,1.67,3.42
6,"Amozadeh et al., 2018",2,13,-21.24,4.24
6,"Amozadeh et al., 2018",1,13,-0.04,3.9
7,"Anderssen et al., 1995",2,13,-16.8,5.85
7,"Anderssen et al., 1995",1,15,-16.7,6.44
8,"Anshel., 1996",2,15,-5.67,8.35
8,"Anshel., 1996",1,15,-2.33,6.08
9,"Aoike et al., 2015",2,14,-14,7.89
9,"Aoike et al., 2015",1,15,-3.8,6.71
10,"Araiza et al., 2006",2,15,-5,14.32
10,"Araiza et al., 2006",1,15,7,11.74
11,"Arca et al., 2014",2,19,-12,9.49
11,"Arca et al., 2014",1,14,0,6
12,"Arija et al., 2017",2,260,-3.59,10.25
12,"Arija et al., 2017",1,104,0.9,11.31
13,"Arora et al., 2009",2,10,-8,7
13,"Arora et al., 2009",1,10,-2,3.94
13,"Arora et al., 2009",3,10,-8,4.09
14,"Asikainen et al., 2003 W1",2,46,5.2,9.1
14,"Asikainen et al., 2003 W1",1,45,4.8,10.59
15,"Asikainen et al., 2003 W2",2,43,5.4,8.38
15,"Asikainen et al., 2003 W2",1,45,4.8,10.59
16,"Asikainen et al., 2003 W3",2,21,1.3,10.25
16,"Asikainen et al., 2003 W3",1,40,-4.6,9.4
17,"Asikainen et al., 2003 W4",2,21,2.3,9.06
17,"Asikainen et al., 2003 W4",1,40,-4.6,9.4
18,"Asikainen et al., 2003 W5",2,18,-2.7,10.41
18,"Asikainen et al., 2003 W5",1,40,-4.6,9.4
19,"Asikainen et al., 2003 W6",2,21,3.7,9.06
19,"Asikainen et al., 2003 W6",1,40,-4.6,9.4
20,"Baker et al., 2008",2,39,1,10.75
20,"Baker et al., 2008",1,40,2,9.49
21,"Ballesta-Garcia et al., 2020 ",2,18,-5.84,11.92
21,"Ballesta-Garcia et al., 2020 ",1,18,-7.39,9.82
22,"Baross et al., 2017",2,12,-4.6,2.52
22,"Baross et al., 2017",1,12,-0.1,2.72
23,"Beck et al., 2013",2,13,-12,6.64
23,"Beck et al., 2013",1,15,0,9.33
23,"Beck et al., 2013",3,15,-9,7.14
24,"Bell et al., 2010",2,43,-3,8.59
24,"Bell et al., 2010",1,45,-9,8.59
25,"Blumenthal et al., 1991",2,39,-8,6.08
25,"Blumenthal et al., 1991",1,22,-9,7.38
26,"Boeno et al., 2020",2,15,-5.6,5.97
26,"Boeno et al., 2020",1,12,2.8,5.84
26,"Boeno et al., 2020",3,15,-6.5,7.21
27,"Bouaziz et al., 2019",2,27,-11.1,6.08
27,"Bouaziz et al., 2019",1,29,3.7,8.85
28,"Braith et al., 1994 High",2,14,-8,6.6
28,"Braith et al., 1994 High",1,11,2,8.44
29,"Braith et al., 1994 Mod",2,19,-9,6.08
29,"Braith et al., 1994 Mod",1,11,2,8.44
30,"Brandon & Elliot-Lloyd., 2006 AA",2,15,-5.7,8.38
30,"Brandon & Elliot-Lloyd., 2006 AA",1,12,1,9.8
31,"Brandon & Elliot-Lloyd., 2006 Wh",2,13,-11.3,9.12
31,"Brandon & Elliot-Lloyd., 2006 Wh",1,12,1,11.65
32,"Brenner et al., 2019",2,18,-2,9.85
32,"Brenner et al., 2019",1,15,-9,9.22
33,"Brixius et al., 2008 Cycle",2,7,-11.6,8.94
33,"Brixius et al., 2008 Cycle",1,7,-11.8,8.29
34,"Brixius et al., 2008 Walk",2,7,-1.4,3.37
34,"Brixius et al., 2008 Walk",1,7,-11.8,8.29
35,"Brown et al., 2014 Built",2,27,1,9.22
35,"Brown et al., 2014 Built",1,19,-7,6.32
36,"Brown et al., 2014 Nature",2,27,-6,7.21
36,"Brown et al., 2014 Nature",1,19,-7,6.32
37,"Calders et al., 2011",2,15,-11,9.35
37,"Calders et al., 2011",1,15,8,9.36
37,"Calders et al., 2011",4,15,-15,9.78
38,"Chiang et al., 2019 Walk Ex",2,11,-6,6.71
38,"Chiang et al., 2019 Walk Ex",1,10,-5,10.21
39,"Chiang et al., 2019 Walk Step",2,11,-3,9.77
39,"Chiang et al., 2019 Walk Step",1,10,-5,10.21
40,"Chung et al., 2017 Single sess",2,16,-6.66,8.35
40,"Chung et al., 2017 Single sess",1,14,-0.25,8.62
41,"Coghill et al., 2008",2,38,-4,9.22
41,"Coghill et al., 2008",1,29,-7,9.06
42,"Connolly et al., 2017",2,15,-5,4.22
42,"Connolly et al., 2017",1,15,0,10.48
42,"Connolly et al., 2017",5,15,-2,9.22
43,"Cooper et al., 2000",2,48,-2,7.59
43,"Cooper et al., 2000",1,42,1,5.46
44,"Dalleck et al., 2009 30-min Ex",2,8,-2.3,11.06
44,"Dalleck et al., 2009 30-min Ex",1,10,1.9,8.1
45,"Dalleck et al., 2009 45-min Ex",2,8,-5.1,9.87
45,"Dalleck et al., 2009 45-min Ex",1,10,1.9,8.1
46,"Duncan et al., 1991 Aerobic",2,13,0,4.22
46,"Duncan et al., 1991 Aerobic",1,10,2,4.43
47,"Duncan et al., 1991 Brisk",2,12,1,6.08
47,"Duncan et al., 1991 Brisk",1,10,2,4.43
48,"Duncan et al., 1991 Strollers",2,18,-3,7.17
48,"Duncan et al., 1991 Strollers",1,10,2,4.43
49,"Dureja et al., 2014",2,5,-6,4.24
49,"Dureja et al., 2014",1,5,5,21.84
50,"Eguchi et al., 2012",2,10,-10.5,13.02
50,"Eguchi et al., 2012",1,10,-5.8,12.78
51,"Eriksson et al., 1998",2,7,-13,11.21
51,"Eriksson et al., 1998",1,7,4,13.41
52,"Ezema et al., 2014",2,15,-26.07,4.59
52,"Ezema et al., 2014",1,15,0.4,2.83
53,"Fairey et al., 2005",2,25,-5.4,8.29
53,"Fairey et al., 2005",1,28,0.1,12.29
54,"Faulkner et al., 2014",2,27,-11,8.44
54,"Faulkner et al., 2014",1,24,-1,9
55,"Fenkci et al., 2006",2,20,-7.6,10.62
55,"Fenkci et al., 2006",1,20,-3.6,10.33
55,"Fenkci et al., 2006",3,20,-8.8,8.81
56,"Finucane et al., 2010",2,48,-3,9.01
56,"Finucane et al., 2010",1,48,-2.4,11.55
57,"Foulds et al., 2014",2,14,-1,7.82
57,"Foulds et al., 2014",1,10,4,5.06
58,"Foulds et al., 2014 10min, 1p/w",2,10,1,6.08
58,"Foulds et al., 2014 10min, 1p/w",1,10,4,5.06
59,"Foulds et al., 2014 10min, 3p/w",2,10,6,6.65
59,"Foulds et al., 2014 10min, 3p/w",1,10,4,5.06
60,"Foulds et al., 2014 30min, 3p/w",2,18,-1,5.46
60,"Foulds et al., 2014 30min, 3p/w",1,10,4,5.06
61,"Foulds et al., 2014 60min, 3p/w",2,10,0,4.84
61,"Foulds et al., 2014 60min, 3p/w",1,10,4,5.06
62,"Fritz et al., 2013 IGT",2,14,-1,12.17
62,"Fritz et al., 2013 IGT",1,21,1,7.82
63,"Fritz et al., 2013 NGT",2,53,2,7.59
63,"Fritz et al., 2013 NGT",1,75,-2,9.06
64,"Fritz et al., 2013 T2DM",2,20,0,9.06
64,"Fritz et al., 2013 T2DM",1,30,-4,9
65,"Fujie et al., 2014",2,18,-8.5,10.84
65,"Fujie et al., 2014",1,16,-4,9.67
66,"Georgiades et al., 2000",2,36,-2.8,5.33
66,"Georgiades et al., 2000",1,19,-2.4,6.26
67,"Goldberg et al., 2012",2,15,-2.2,0.97
67,"Goldberg et al., 2012",1,15,1.5,1.14
68,"Goldie et al., 2012",2,20,-8.3,14.51
68,"Goldie et al., 2012",1,20,-1.5,9.06
69,"Gradidge & Golele., 2018",2,49,-13,10.36
69,"Gradidge & Golele., 2018",1,66,-4,10.62
70,"Guimaraes et al., 2010",2,16,-1,6.08
70,"Guimaraes et al., 2010",1,11,0,5.69
71,"Hamdorf et al., 1999",2,18,7.5,15.31
71,"Hamdorf et al., 1999",1,20,-1,14.88
72,"Hanssen et al., 2017",2,12,0.3,7.99
72,"Hanssen et al., 2017",1,12,-1.1,6.75
72,"Hanssen et al., 2017",5,13,-3,5.46
73,"He et al., 2018",2,22,-9,3.16
73,"He et al., 2018",1,20,2,3.16
74,"Headley et al., 2014",2,25,-1.9,10.81
74,"Headley et al., 2014",1,21,-5.3,15.22
75,"Headley et al., 2017",2,25,-1.9,10.81
75,"Headley et al., 2017",1,21,-5.3,15.22
76,"Hellenius et al., 1993",2,39,-5,12.21
76,"Hellenius et al., 1993",1,39,-1,7.66
77,"Herzig et al., 2014",2,33,-7,9.85
77,"Herzig et al., 2014",1,35,-11,12
78,"Higashi et al., 1999",2,20,-7.7,4.28
78,"Higashi et al., 1999",1,7,0.1,5.47
79,"Hinderliter et al., 2002",2,27,-1,6.23
79,"Hinderliter et al., 2002",1,19,-5,9.48
80,"Hofgaard et al., 2019",2,15,-11,7.21
80,"Hofgaard et al., 2019",1,10,-3,12.04
81,"Hur et al., 2014 Not Type D",2,12,-5.4,4.88
81,"Hur et al., 2014 Not Type D",1,10,1.8,8.86
82,"Hur et al., 2014 Type D",2,12,-4.6,3.99
82,"Hur et al., 2014 Type D",1,12,-2.1,4.9
83,"Irving et al., 2008",2,11,-11,10.82
83,"Irving et al., 2008",1,7,1,7.33
84,"Jabbour et al., 2017 ",2,12,-7,6.84
84,"Jabbour et al., 2017 ",1,12,1,2.41
85,"Kadoglou et al., 2007",2,30,-6.9,11.98
85,"Kadoglou et al., 2007",1,30,1.22,16.09
86,"Khalid et al., 2013",2,15,-24,3.54
86,"Khalid et al., 2013",1,15,-9,4.24
87,"Kim et al., 2012",2,15,-8.61,3.09
87,"Kim et al., 2012",1,15,2.15,2.24
88,"King et al., 1991 Men",2,45,-1,6.65
88,"King et al., 1991 Men",1,41,-1,7.92
89,"King et al., 1991 Women",2,29,-6,7.92
89,"King et al., 1991 Women",1,34,-3,8.68
90,"Koh et al., 2010",2,15,-2,19.5
90,"Koh et al., 2010",1,16,-9,18.16
91,"Krustrup et al., 2009",2,12,-8,8.44
91,"Krustrup et al., 2009",1,10,-2,5.85
92,"Krustrup et al., 2010",2,17,-7,5.19
92,"Krustrup et al., 2010",1,14,-2,4.74
93,"Kucio et al., 2017",2,15,-5.5,8.37
93,"Kucio et al., 2017",1,11,-2.4,7.25
94,"Kurban et al., 2011",2,30,-7,7.21
94,"Kurban et al., 2011",1,30,-1,9.22
95,"Lamina et al., 2013",2,162,-16.05,10.03
95,"Lamina et al., 2013",1,162,2.6,9.03
96,"Lamina., 2011 Contin",2,112,-13.94,8.02
96,"Lamina., 2011 Contin",1,105,2.6,8.93
97,"Lamina., 2011 Interval",2,140,-15.7,10.03
97,"Lamina., 2011 Interval",1,105,2.6,8.93
98,"Latosik et al., 2014",2,15,-10.2,10.11
98,"Latosik et al., 2014",1,10,-6.6,7.22
99,"Lee et al., 2007",2,91,-15.8,10.42
99,"Lee et al., 2007",1,93,-8.8,9.25
100,"Lim et al., 2015",2,15,-0.2,2.6
100,"Lim et al., 2015",1,15,0.1,1.9
101,"Lopes et al., 2021",2,26,-11,9.85
101,"Lopes et al., 2021",1,27,-1,9
102,"Maeda et al., 2004",2,10,-12,7.92
102,"Maeda et al., 2004",1,5,4,3.61
103,"Magalhaes et al., 2019",2,28,-4.7,11.65
103,"Magalhaes et al., 2019",1,27,-5.9,13.61
104,"McGavock et al., 2004",1,7,-3,12.04
104,"McGavock et al., 2004",4,11,3,12.04
105,"Mora-Rodriguez et al., 2017",2,23,-9,10.32
105,"Mora-Rodriguez et al., 2017",1,23,2,9.63
106,"Mouodi et al., 2019",2,98,-5.5,9.52
106,"Mouodi et al., 2019",1,97,-0.3,11.73
107,"Murphy et al., 1998 Long Bout",2,12,-4.6,7.3
107,"Murphy et al., 1998 Long Bout",1,10,-2,8.81
108,"Murphy et al., 1998 Short Bout",2,12,-7.4,6.62
108,"Murphy et al., 1998 Short Bout",1,10,-2,8.81
109,"Murphy et al., 2006",2,21,-5,11.98
109,"Murphy et al., 2006",1,12,2,7.82
110,"Murtagh et al., 2005 Multi Bout",2,18,-4,6.96
110,"Murtagh et al., 2005 Multi Bout",1,11,-3,11.11
111,"Murtagh et al., 2005 Single Bout",2,19,1,7.33
111,"Murtagh et al., 2005 Single Bout",1,11,-3,11.11
112,"Myslivecek et al., 2002 Postmenopause",2,8,-5,8.46
112,"Myslivecek et al., 2002 Postmenopause",1,8,-3,6.8
113,"Myslivecek et al., 2002 Premenopause",2,8,-6,8.91
113,"Myslivecek et al., 2002 Premenopause",1,8,0,11.94
114,"Nemoto et al., 2007 F",2,43,-3,12.46
114,"Nemoto et al., 2007 F",1,37,-1,11.51
115,"Nemoto et al., 2007 M",2,8,-3,3.6
115,"Nemoto et al., 2007 M",1,9,-2,3.79
116,"Neumann et al., 2006",2,14,-6,2.41
116,"Neumann et al., 2006",1,11,-10,3.69
117,"Nybo et al., 2010",2,8,-8,6.8
117,"Nybo et al., 2010",1,11,-2,6.08
117,"Nybo et al., 2010",3,9,-8,11.06
118,"Oue et al., 2019",2,8,-4,5.38
118,"Oue et al., 2019",1,9,-2,7.59
119,"Palmer et al., 1995",2,16,-5,10.21
119,"Palmer et al., 1995",1,11,-2,8.59
120,"Pascoalino et al., 2015",2,31,-1,17.58
120,"Pascoalino et al., 2015",1,9,2,7.22
121,"Patterson et al., 2017",2,14,-4,7.96
121,"Patterson et al., 2017",1,8,1,5.46
122,"Pereira Jorge et al., 2011",2,12,-10,9.72
122,"Pereira Jorge et al., 2011",1,12,-11.66,10.91
123,"Pitsavos et al., 2011",2,26,-12.05,8.99
123,"Pitsavos et al., 2011",1,26,-3,10.35
124,"Poptempa et al., 1995",2,19,-7.4,10.5
124,"Poptempa et al., 1995",1,23,-5,14.4
125,"Pospieszna et al., 2017",2,20,-13,12.63
125,"Pospieszna et al., 2017",1,19,-5,1.9
126,"Ramos et al., 2018",2,12,-4.4,5.1
126,"Ramos et al., 2018",1,12,6.1,3.42
127,"Ready et al., 1996 3-Day",2,19,-7,11.32
127,"Ready et al., 1996 3-Day",1,20,-2,9.67
128,"Ready et al., 1996 5-Day",2,17,-5,13.89
128,"Ready et al., 1996 5-Day",1,20,-2,9.67
129,"Ribeiro et al., 2012",2,20,0.9,8.77
129,"Ribeiro et al., 2012",1,18,3.5,8.56
130,"Richter et al., 2009",2,10,-6.2,3.48
130,"Richter et al., 2009",1,14,3,5
131,"Roberson et al., 2018",2,8,2,8.59
131,"Roberson et al., 2018",1,7,5,8.85
132,"Ruangthai & Phoemsapthawee., 2019",2,13,-8,9.49
132,"Ruangthai & Phoemsapthawee., 2019",1,12,6,12.17
132,"Ruangthai & Phoemsapthawee., 2019",3,13,-5,14.28
132,"Ruangthai & Phoemsapthawee., 2019",4,16,-11,9
133,"Sakai et al., 1998",2,16,-11,7.38
133,"Sakai et al., 1998",1,13,-5,6.64
134,"Sandberg et al., 2021",2,23,-22.4,11.17
134,"Sandberg et al., 2021",1,29,-16.4,14.82
135,"Saptharishi et al., 2009",2,27,-5.3,4.7
135,"Saptharishi et al., 2009",1,29,-0.2,6.31
136,"Saremi et al., 2010",2,9,-2.33,4.3
136,"Saremi et al., 2010",1,9,-0.67,4.77
137,"Schroeder et al., 2019",2,17,0,7.84
137,"Schroeder et al., 2019",1,17,0,7.84
137,"Schroeder et al., 2019",3,17,-1,7.84
137,"Schroeder et al., 2019",4,18,0,8.03
138,"Seo et al., 2010",2,7,2,12.08
138,"Seo et al., 2010",1,7,-2.1,8.3
138,"Seo et al., 2010",4,8,-7.7,8.79
139,"Serwe et al., 2011 Long Bout",2,20,0,6.71
139,"Serwe et al., 2011 Long Bout",1,20,0,5.69
140,"Serwe et al., 2011 Short Bout",2,20,-4,7.33
140,"Serwe et al., 2011 Short Bout",1,20,0,5.69
141,"Shenoy et al., 2010",2,20,1.5,10.44
141,"Shenoy et al., 2010",1,20,-3.3,8.54
142,"Sigla et al., 2007",2,60,-3,14.26
142,"Sigla et al., 2007",1,63,-4,13
142,"Sigla et al., 2007",3,64,-5,14.26
142,"Sigla et al., 2007",4,64,-2,14.26
143,"Sikiru., 2013",2,162,-15.7,10.07
143,"Sikiru., 2013",1,161,2.6,14.96
144,"Simons et al., 2006",2,18,-5,7.22
144,"Simons et al., 2006",1,21,1,7.22
144,"Simons et al., 2006",3,21,-9,7.82
145,"Skow et al., 2021",2,31,0,6.6
145,"Skow et al., 2021",1,28,3,7.33
146,"Sohn et al., 2007",2,8,-13.3,2.71
146,"Sohn et al., 2007",1,10,-3.4,2.41
147,"Sousa et al., 2013",2,15,-14.8,15.06
147,"Sousa et al., 2013",1,17,-0.3,10.26
147,"Sousa et al., 2013",4,16,-24,10.08
148,"Staffileno et al., 2001",2,9,-6.9,7.03
148,"Staffileno et al., 2001",1,9,1.2,6.18
149,"Stefanick et al., 1998 Men",2,47,-0.6,7.08
149,"Stefanick et al., 1998 Men",1,46,0.3,6.95
150,"Stefanick et al., 1998 Women",2,43,-1.1,7.8
150,"Stefanick et al., 1998 Women",1,45,-2.4,8.12
151,"Stutzman et al., 2010 Normal",2,5,2,9.12
151,"Stutzman et al., 2010 Normal",1,5,4,4.43
152,"Stutzman et al., 2010 Overweight",2,6,-2,8.44
152,"Stutzman et al., 2010 Overweight",1,6,10,4.84
153,"Suter et al., 1990",2,39,-4.9,10.48
153,"Suter et al., 1990",1,22,-5.9,8.51
154,"Swift et al., 2012 12kcal",2,93,-13.1,7.83
154,"Swift et al., 2012 12kcal",1,89,-1,6.9
155,"Swift et al., 2012 4kcal",2,140,-8.4,8.03
155,"Swift et al., 2012 4kcal",1,89,-1,6.9
156,"Swift et al., 2012 8kcal",2,82,-2.6,8.41
156,"Swift et al., 2012 8kcal",1,89,-1,6.9
157,"Tanaka et al., 1997",2,12,-6,10.38
157,"Tanaka et al., 1997",1,6,-1,5.9
158,"Tsai et al., 2002 A",2,12,-18,6.96
158,"Tsai et al., 2002 A",1,11,-8,11.76
159,"Tsai et al., 2002 B",2,22,-10.8,7.33
159,"Tsai et al., 2002 B",1,20,-2.8,10.15
160,"Tsai et al., 2004",2,52,-13.1,7.55
160,"Tsai et al., 2004",1,50,-3.6,11.68
161,"Tudor-Locke et al., 2004",2,12,-3,10.75
161,"Tudor-Locke et al., 2004",1,9,0,9.49
162,"Tully et al., 2005",2,21,-12,5.46
162,"Tully et al., 2005",1,10,-4,8.4
163,"Tully et al., 2007 3-Day",2,44,-4,9.85
163,"Tully et al., 2007 3-Day",1,20,-4,9.22
164,"Tully et al., 2007 5-Day",2,42,-6,9.49
